sorriso,olho_esquerdo,olho_direito,angulo_x,angulo_y,angulo_z,boca_visivel_esq,boca_visivel_dir,olho_visivel_esq,olho_visivel_dir,nariz_visivel,humor
0.97,0.49,0.91,-12.21,-9.1,16.99,0,1,1,1,1,Neutro
0.12,0.26,0.35,-21.07,20.51,29.52,1,1,0,1,1,Cansado
0.29,0.06,0.27,26.45,-29.97,-3.88,0,0,0,1,1,Triste
0.39,0.43,0.86,22.58,-15.64,26.83,0,0,0,1,0,Feliz
0.36,0.03,0.08,1.34,-7.94,-16.75,1,0,0,0,0,Estressado
0.72,0.06,0.04,19.21,-23.71,-18.31,0,1,0,1,1,Cansado
0.07,0.29,0.47,-19.89,-1.88,13.01,1,1,1,0,0,Cansado
0.9,0.97,0.46,24.38,1.88,-21.48,1,1,1,1,0,Feliz
0.84,0.24,0.6,25.6,-21.72,12.48,1,0,0,1,1,Estressado
0.66,0.97,0.95,4.02,-19.85,17.11,1,0,0,0,1,Triste
0.76,0.05,0.31,-4.86,15.88,-18.04,1,0,0,0,0,Neutro
0.34,0.22,0.0,11.23,-29.62,29.7,0,1,0,0,0,Triste
0.97,0.58,0.49,-22.42,20.8,3.55,1,0,0,0,0,Neutro
0.73,0.41,0.35,-22.41,-2.13,-8.2,0,1,1,1,1,Neutro
0.36,0.29,0.36,-0.79,9.74,-25.79,1,1,1,0,1,Triste
0.41,0.01,0.11,12.2,2.52,14.0,1,1,1,1,1,Cansado
0.94,0.1,0.05,8.47,15.98,22.08,1,1,0,1,1,Triste
0.34,0.43,0.06,13.24,13.15,-2.03,1,1,1,0,0,Feliz
0.53,0.18,0.76,-14.92,4.61,-11.21,1,1,0,1,0,Neutro
0.66,0.1,0.36,1.05,12.7,-3.17,0,0,0,1,1,Triste
0.47,0.95,0.77,28.22,-2.27,11.25,0,1,1,1,1,Triste
0.51,0.93,0.78,-16.56,-26.87,-20.86,1,1,1,0,1,Estressado
0.8,0.09,0.12,29.79,-13.0,-24.39,1,0,1,1,1,Neutro
0.49,0.12,0.63,-28.38,-12.8,4.66,0,1,1,0,1,Neutro
0.71,0.11,0.83,-12.27,14.77,-28.11,0,1,1,0,1,Feliz
0.15,0.06,0.16,-12.53,-26.93,12.75,0,1,1,1,0,Triste
0.82,0.26,0.04,18.84,-13.51,7.62,0,1,1,1,1,Neutro
0.71,0.48,0.61,-8.01,18.6,12.75,0,1,1,1,1,Triste
0.3,0.01,0.37,8.38,13.67,7.83,1,0,0,1,0,Feliz
0.8,0.61,0.56,-28.75,-17.68,7.54,1,1,1,1,0,Cansado
0.05,0.49,0.7,12.41,-14.55,-4.31,1,0,0,1,0,Neutro
0.58,0.45,0.89,7.6,-19.25,7.11,0,1,1,1,0,Estressado
0.29,0.44,0.45,-13.82,26.73,5.3,0,1,1,1,0,Cansado
0.05,0.88,0.19,21.81,-7.75,29.1,0,1,1,0,1,Estressado
0.22,0.51,0.64,-13.62,14.62,26.99,1,0,1,1,0,Triste
0.8,0.82,0.35,-6.34,-14.98,-5.2,1,0,0,1,1,Neutro
0.16,0.64,0.45,-0.61,7.04,13.23,0,0,0,1,0,Triste
0.6,0.22,0.36,-7.66,12.51,-24.56,0,0,0,0,0,Feliz
0.04,0.49,0.39,-8.98,4.75,-0.86,1,1,1,0,0,Cansado
0.64,0.97,0.67,17.03,-6.79,3.2,0,0,1,1,1,Feliz
0.62,0.58,0.89,-20.39,18.58,12.79,0,0,1,0,1,Triste
0.21,0.99,0.2,-20.73,-0.7,-28.32,1,0,1,1,0,Estressado
0.47,0.68,0.42,-9.78,-11.36,6.73,0,1,1,1,0,Triste
0.62,0.13,0.5,-23.64,10.81,-17.62,0,1,0,0,1,Triste
0.72,0.48,0.04,-7.98,-19.36,12.86,1,1,0,1,0,Triste
0.23,0.66,0.1,21.05,15.17,-23.23,1,0,1,1,1,Estressado
0.49,0.42,0.78,-10.23,-7.42,-12.41,0,1,1,0,0,Triste
0.99,0.34,0.52,19.4,13.93,-9.94,0,1,0,1,1,Estressado
0.07,0.03,0.21,-7.29,-3.65,21.29,0,0,1,1,1,Cansado
0.16,0.19,0.99,19.99,-3.31,-6.6,1,1,0,1,0,Cansado
0.23,0.51,0.43,25.88,6.45,-2.21,0,0,0,1,0,Neutro
0.41,0.37,0.14,-2.23,28.16,-13.84,0,1,1,1,1,Estressado
0.1,0.97,0.86,20.04,-12.65,-14.38,0,0,0,0,1,Neutro
0.27,0.92,0.76,24.37,-2.22,3.39,1,1,1,0,0,Triste
0.2,0.49,0.9,-24.62,1.05,24.83,1,1,0,1,1,Feliz
0.8,0.96,0.71,2.91,-22.21,-7.72,0,0,1,0,0,Triste
0.76,0.91,0.06,4.47,8.83,10.5,0,1,0,0,0,Cansado
0.39,0.18,0.37,-28.85,20.28,-12.68,1,1,1,0,1,Triste
0.63,0.46,0.11,7.48,29.43,-24.46,1,1,0,1,0,Estressado
0.88,0.55,0.83,-26.38,16.86,-0.36,0,1,1,0,0,Estressado
0.36,0.56,0.94,12.1,3.26,18.88,1,1,0,0,0,Estressado
0.27,0.35,0.0,17.83,22.38,-12.66,1,0,0,1,1,Neutro
0.78,0.42,0.79,5.62,-5.89,2.52,1,0,1,1,1,Feliz
0.7,0.19,0.08,14.24,2.2,-28.4,0,0,0,0,0,Feliz
0.1,0.85,0.28,6.74,23.5,-6.01,0,0,1,1,1,Neutro
0.42,0.97,0.3,-25.26,23.81,21.62,1,0,1,0,0,Estressado
0.06,0.95,0.07,12.24,16.8,28.58,1,0,0,1,1,Cansado
0.98,0.29,0.32,1.17,4.55,-6.38,0,1,1,0,1,Estressado
0.42,0.32,0.69,15.02,-12.93,1.19,0,0,1,1,0,Triste
0.67,0.86,0.95,-3.51,8.16,-23.54,0,0,0,0,0,Feliz
0.33,0.55,0.65,14.46,-20.15,-7.18,1,1,1,0,1,Feliz
0.36,0.39,0.72,-8.0,-1.37,11.99,0,0,1,1,0,Estressado
0.19,0.47,0.83,-5.12,-2.78,6.64,0,1,0,0,1,Cansado
0.3,0.53,0.94,6.95,29.93,-6.66,0,1,1,1,0,Neutro
0.26,0.63,0.65,2.27,-9.33,-5.78,1,1,0,0,0,Triste
0.2,0.56,0.04,-12.82,-8.96,4.46,1,0,1,0,1,Neutro
0.92,0.86,0.84,11.49,-3.82,-23.14,0,0,1,1,0,Feliz
0.32,0.54,0.31,-21.96,21.48,28.47,1,1,1,0,1,Neutro
0.21,0.25,0.43,-17.77,29.77,-20.13,0,0,1,0,1,Estressado
0.17,0.07,0.81,-6.33,-4.27,4.85,0,0,1,1,1,Feliz
0.69,0.14,0.14,15.7,13.41,28.38,1,1,0,1,1,Estressado
0.72,0.4,0.67,5.32,22.0,7.22,0,1,1,1,0,Estressado
0.84,0.79,0.53,-20.22,13.35,8.97,1,1,0,1,1,Cansado
0.65,0.92,0.05,16.02,4.64,13.36,1,0,1,1,1,Estressado
0.35,0.09,0.85,24.73,-15.33,20.19,1,1,1,1,1,Feliz
0.23,0.95,0.88,-18.06,-18.16,-2.73,1,0,0,1,0,Triste
0.43,0.03,0.97,-17.19,12.03,-7.86,0,1,0,0,0,Feliz
0.42,0.12,0.09,-22.4,10.99,22.82,1,0,1,0,1,Neutro
0.76,0.74,0.0,-25.89,10.41,-0.93,0,0,1,0,0,Cansado
0.11,0.39,0.03,-17.76,-3.04,19.22,0,1,0,1,1,Neutro
0.91,0.88,0.47,14.99,2.82,-25.22,0,0,1,0,1,Neutro
0.57,1.0,0.65,13.1,7.74,5.03,1,0,0,0,1,Triste
0.25,0.3,0.83,8.05,-21.51,16.89,1,1,0,1,1,Neutro
0.7,0.71,0.27,11.15,23.12,15.99,1,0,0,0,0,Neutro
0.32,0.77,0.47,23.62,15.87,-27.07,1,1,0,0,1,Feliz
0.42,0.5,0.27,0.73,-8.71,5.43,1,1,1,0,0,Triste
0.55,0.77,0.14,-5.66,22.35,-10.09,0,1,1,1,1,Neutro
0.42,0.01,0.72,25.19,-5.94,-14.45,1,0,0,1,0,Neutro
0.12,0.3,0.69,-0.99,-2.15,0.03,0,1,0,0,1,Neutro
0.38,0.82,0.9,22.01,23.94,-23.61,0,1,0,0,0,Neutro
0.17,0.49,0.76,12.74,-16.56,14.12,0,1,1,1,1,Estressado
0.73,0.39,0.72,12.31,-19.53,-7.5,1,1,1,1,1,Estressado
0.01,0.46,0.27,-29.07,-25.67,15.65,1,1,1,1,1,Estressado
0.27,0.91,0.72,21.6,15.08,-22.27,0,1,1,0,1,Neutro
0.29,0.36,0.73,29.06,-19.97,26.17,1,1,1,1,0,Estressado
0.79,0.26,0.97,9.79,-7.86,-26.39,0,1,1,1,1,Estressado
0.56,0.91,0.43,8.27,-27.78,-15.26,1,1,0,1,0,Neutro
0.27,0.18,0.26,-7.62,3.01,-24.0,1,0,1,1,0,Estressado
0.78,0.51,0.18,-9.62,-26.54,21.35,0,0,0,0,1,Feliz
0.9,0.83,0.49,2.88,19.35,-2.36,1,1,1,0,1,Feliz
0.3,0.39,0.08,13.06,3.13,-19.53,0,0,0,0,1,Cansado
0.21,0.19,0.33,-24.62,7.97,25.78,0,1,1,1,1,Feliz
0.18,0.17,0.14,-10.08,-6.99,-22.06,0,1,1,1,1,Triste
0.81,0.33,0.46,17.46,21.54,-5.43,1,1,1,0,1,Estressado
0.35,0.41,0.01,28.75,-23.09,10.12,1,0,1,1,0,Cansado
0.13,0.61,0.39,-7.15,-11.49,17.52,0,0,0,0,1,Estressado
0.99,0.15,0.17,6.58,16.1,21.97,1,0,1,1,0,Feliz
0.87,0.18,0.05,5.52,7.75,15.82,0,1,1,0,1,Cansado
0.25,0.87,0.01,21.41,22.06,25.89,0,0,1,0,0,Triste
0.09,0.02,0.25,19.22,2.43,4.81,1,1,1,0,0,Neutro
0.61,0.44,0.97,-7.47,-5.21,18.32,0,0,0,0,0,Neutro
0.92,0.22,0.62,10.68,24.01,-8.05,0,1,0,0,1,Triste
0.86,0.82,0.41,-18.73,-6.79,12.66,0,1,1,0,1,Neutro
0.82,0.57,0.07,-14.14,11.98,-5.98,1,1,0,1,0,Estressado
0.85,0.35,0.68,-3.76,23.55,-18.92,0,0,1,0,1,Triste
0.12,0.78,0.96,-23.0,-5.21,-13.01,0,1,0,0,1,Triste
0.41,0.64,0.14,-5.7,-6.77,26.15,0,0,1,0,1,Feliz
0.74,0.21,0.45,7.29,22.99,-20.01,1,0,1,1,1,Estressado
0.99,0.49,0.05,7.54,4.77,29.68,0,1,1,1,1,Feliz
0.36,0.3,0.75,0.52,-21.2,-28.98,1,0,1,1,0,Neutro
